a,c
-1.9183673,0.005102044
-1.836735,0.010204063
-1.755102,0.015306125
-1.673469,0.020408188
-1.591837,0.025510188
-1.510204,0.03061225
-1.428571,0.035714313
-1.346939,0.040816313
-1.265306,0.045918375
-1.183673,0.051020438
-1.102041,0.056122438
-1.020408,0.0612245
-0.93878,0.06632625
-0.85714,0.07142875
-0.77551,0.076530625
-0.69388,0.0816325
-0.61224,0.086735
-0.53061,0.091836875
-0.44898,0.29722027
-0.36735,0.228188636
-0.28571,0.165813227
-0.20408,0.110109323
-0.12245,0.061068876
-0.04082,0.018691886
0.04082,-0.017025614
0.12245,-0.046074874
0.20408,-0.068460677
0.28571,-0.084183023
0.36735,-0.093242614
0.44898,-0.09563723
0.53061,0.158163125
0.61224,0.163265
0.69388,0.1683675
0.77551,0.173469375
0.85714,0.17857125
0.93878,0.18367375
1.02041,0.188775625
1.10204,0.1938775
1.18367,0.198979375
1.26531,0.204081875
1.34694,0.20918375
1.42857,0.214285625
1.5102,0.2193875
1.59184,0.22449
1.67347,0.229591875
1.7551,0.23469375
1.83673,0.239795625
1.91837,0.244898125
2,0.25
2.08163,0.255101875